adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
FALSE,"c(28, 12, 878)",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",142.375,2/13/18,Black Panther,FALSE,7.4,17631
FALSE,"c(28, 12, 878)",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",140.495,4/22/15,Avengers: Age of Ultron,FALSE,7.3,18242
FALSE,"c(28, 12, 35)",293660,en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",128.424,2/9/16,Deadpool,FALSE,7.6,25222
FALSE,"c(28, 12, 878)",351286,en,Jurassic World: Fallen Kingdom,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on Isla Nublar. So, Claire Dearing recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",127.43,6/6/18,Jurassic World: Fallen Kingdom,FALSE,6.6,9030
FALSE,"c(10749, 16, 18)",372058,ja,<U+541B><U+306E><U+540D><U+306F><U+3002>,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",124.915,8/26/16,Your Name.,FALSE,8.6,7680
FALSE,"c(10749, 18)",398818,en,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",124.489,9/1/17,Call Me by Your Name,FALSE,8.3,9288
FALSE,"c(12, 28, 878)",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",123.853,4/27/16,Captain America: Civil War,FALSE,7.4,18347
FALSE,"c(28, 35, 12)",383498,en,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,121.928,5/10/18,Deadpool 2,FALSE,7.5,13488
FALSE,"c(16, 18)",378064,ja,<U+6620><U+753B> <U+8072><U+306E><U+5F62>,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",119.133,9/17/16,A Silent Voice: The Movie,FALSE,8.4,2460
FALSE,"c(28, 12, 16, 878, 35)",324857,en,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",114.725,12/6/18,Spider-Man: Into the Spider-Verse,FALSE,8.4,9667
